seed,trained,evaluated,crashrate,mergerate,ego speed,road speed
42, 3, 12, 0.03333333333333333, 0.9666666666666667, 21.305313224225095, 21.121929170325778
42, 5, 12, 0.02, 0.9733333333333334, 22.541896897724868, 21.146946328883484
42, 12, 12, 0.02, 0.98, 22.934956227416045, 21.043571487014216
42, 20, 12, 0.06, 0.94, 21.279406594905815, 21.138139686486337
42, 30, 12, 0.04, 0.9566666666666667, 20.41863734064497, 20.89626053358915
112, No Interference, 12, 0.06666666666666667, 0.8866666666666667, 15.747753112428935, 20.543561905021075
112, 3, 12, 0.04, 0.9566666666666667, 21.387367285302133, 20.921385739659865
112, 5, 12, 0.023333333333333334, 0.9666666666666667, 22.371586148478542, 21.16137401022478
112, 12, 12, 0.016666666666666666, 0.98, 23.07114335180413, 21.20054672538737
112, 20, 12, 0.05333333333333334, 0.9466666666666667, 21.241129872150907, 21.126077789490193
112, 30, 12, 0.03666666666666667, 0.9633333333333334, 20.464043752293563, 21.04545351083619
110, No Interference, 12, 0.06333333333333334, 0.8566666666666667, 15.398642598317691, 20.4322916838476
110, 3, 12, 0.056666666666666664, 0.9366666666666666, 21.253736324828537, 21.092149426302022
110, 5, 12, 0.03666666666666667, 0.9466666666666667, 22.437927809172276, 21.2373438708565
110, 12, 12, 0.03333333333333333, 0.9633333333333334, 22.865474796972258, 21.054712453917887
110, 20, 12, 0.02666666666666667, 0.97, 21.200654718189828, 20.999210384023716
110, 30, 12, 0.03333333333333333, 0.9666666666666667, 20.781654702635123, 21.002592333210504
666, No Interference, 12, 0.056666666666666664, 0.8866666666666667, 15.6790603343539, 20.337292797314028
666, 3, 12, 0.03, 0.9666666666666667, 21.279959780118876, 20.93455062341696
666, 5, 12, 0.023333333333333334, 0.9566666666666667, 22.125725386621493, 21.117215598112324
666, 12, 12, 0.013333333333333334, 0.9833333333333333, 22.760013242819124, 21.06719878362517
666, 20, 12, 0.06, 0.94, 21.18022762020574, 20.984449151380606
666, 30, 12, 0.04, 0.9566666666666667, 20.03990891244445, 21.04690368089924
72, No Interference, 12, 0.07, 0.8533333333333334, 15.684888923841239, 20.463643530925662
72, 3, 12, 0.03666666666666667, 0.9466666666666667, 21.212604833954252, 21.011903397523238
72, 5, 12, 0.03, 0.9633333333333334, 22.133140697198158, 21.088211651856486
72, 12, 12, 0.02666666666666667, 0.96, 23.045705590523394, 21.04074180685526
72, 20, 12, 0.056666666666666664, 0.9433333333333334, 21.333589958047824, 21.048157700403106
72, 30, 12, 0.03, 0.9666666666666667, 20.491761528983602, 21.108557721955723
80, No Interference, 12, 0.03, 0.93, 15.527943529486, 20.52211673721689
80, 3, 12, 0.05, 0.9466666666666667, 21.484573066742843, 21.08704765317653
80, 5, 12, 0.03, 0.96, 22.255518931054194, 21.116038539035266
80, 12, 12, 0.03, 0.9666666666666667, 22.71777904029187, 21.163406671699608
80, 20, 12, 0.04, 0.9533333333333334, 21.252210922183806, 21.06092529998564
80, 30, 12, 0.02, 0.98, 20.426310211234252, 21.0574198394217
1067, No Interference, 12, 0.06333333333333334, 0.8833333333333333, 15.685399280476085, 20.473000083337016
1067, 3, 12, 0.05, 0.9466666666666667, 21.337460434110227, 21.011268712687794
1067, 5, 12, 0.03, 0.9666666666666667, 22.47217109507861, 21.175429522653545
1067, 12, 12, 0.02, 0.98, 22.96227145158798, 21.325638919734335
1067, 20, 12, 0.05, 0.95, 21.19340120843151, 21.02485441016989
1067, 30, 12, 0.03, 0.97, 20.4355172692724, 21.11795542354375
